Month,Hour,wind,pv
9,18,0.745591248,0
9,19,0.412313472,0
9,20,0.261482112,0
9,21,0.255104784,0
9,22,0.309123216,0
9,23,0.429981696,0
9,0,0.682795008,0
9,1,1.314623376,0.24674796
9,2,4.415658768,11.02549312
9,3,11.05425,33.66648314
9,4,17.25453461,60.98726665
9,5,14.38521754,86.3961912
9,6,9.852181776,103.8287633
9,7,6.068763648,109.338051
9,8,3.659354496,106.5989625
9,9,2.143718784,96.65783642
9,10,1.084253184,76.58192372
9,11,0.338779728,51.23070442
9,12,0.051539184,25.92109601
9,13,0.104976,3.628033016
9,14,0.77175,0
9,15,1.965876336,0
9,16,1.990656,0
9,17,0.926619264,0
9,18,0.294967152,0
9,19,0.181398528,0
9,20,0.207777168,0
9,21,0.288054144,0
9,22,0.378442368,0
9,23,0.421085808,0
9,0,0.578833776,0
9,1,0.812124288,0.161770977
9,2,2.387718,8.699707044
9,3,4.94325,26.65794897
9,4,5.861892096,44.81408966
9,5,3.404146032,59.36400384
9,6,2.223107856,65.67698521
9,7,1.752048,71.73941514
9,8,1.277242992,65.91687603
9,9,0.839808,57.40530223
9,10,0.378442368,44.76659479
9,11,0.176406192,29.5268487
9,12,0.139723056,15.49833554
9,13,0.148363344,2.469165745
9,14,0.166698,0
9,15,0.207777168,0
9,16,0.207777168,0
9,17,0.112131072,0
9,18,0.023958,0
9,19,0.008541936,0
9,20,0.152813952,0
9,21,0.911754,0
9,22,2.223107856,0
9,23,1.868814,0
9,0,0.868113792,0
9,1,0.370274832,0.185440408
9,2,0.354294,10.37404599
9,3,0.635175936,33.9818044
9,4,0.972182736,67.4210713
9,5,1.204621488,89.42210964
9,6,1.706738688,102.4062939
9,7,3.093833088,112.101907
9,8,4.762967184,113.585544
9,9,5.709862224,108.457922
9,10,5.128025616,91.50271095
9,11,3.849249456,65.00154714
9,12,1.596897648,31.54486566
9,13,0.635175936,4.869035367
9,14,0.288054144,0
9,15,0.191664,0
9,16,0.139723056,0
9,17,0.063212544,0
9,18,0.021438288,0
9,19,0.018,0
9,20,0.049392,0
9,21,0.112131072,0
9,22,0.181398528,0
9,23,0.255104784,0
9,0,0.331195392,0
9,1,0.378442368,0.195719172
9,2,0.825888816,10.64616675
9,3,2.444341392,33.26636631
9,4,4.762967184,55.20948484
9,5,5.609983536,77.83271098
9,6,5.511276432,89.14743631
9,7,5.174928,95.13055594
9,8,4.630670208,87.88003139
9,9,3.127340016,80.47727214
9,10,1.575510912,62.73063257
9,11,0.439002,43.38837428
9,12,0.070997616,20.16190376
9,13,0.088434,3.19081776
9,14,0.505700352,0
9,15,0.941645232,0
9,16,1.003373424,0
9,17,0.707472,0
9,18,0.386729136,0
9,19,0.171506304,0
9,20,0.073728,0
9,21,0.108514224,0
9,22,0.301989888,0
9,23,0.589824,0
9,0,0.732736512,0
9,1,0.825888816,0.253964858
9,2,1.845058176,13.50870617
9,3,4.289904,41.32301001
9,4,8.281793664,69.37207944
9,5,9.147052656,91.84305383
9,6,8.346326832,105.6790784
9,7,7.839351216,105.0948536
9,8,6.718464,103.4601645
9,9,5.081407488,93.40266978
9,10,3.548472624,73.53949576
9,11,1.554315984,44.5253491
9,12,0.882502128,19.74980213
9,13,0.213342336,2.836859223
9,14,0.101515536,0
9,15,0.139723056,0
9,16,0.395136,0
9,17,1.019215872,0
9,18,1.64025,0
9,19,1.990656,0
9,20,2.091856896,0
9,21,2.143718784,0
9,22,1.662217344,0
9,23,1.169366544,0
10,0,0.956832768,0
10,1,0.926619264,0.2579456
10,2,2.415919104,13.9655612
10,3,5.269588992,40.32911254
10,4,10.51698701,68.53856573
10,5,11.13246374,102.1175717
10,6,8.674025472,135.4544259
10,7,6.388108416,154.0517283
10,8,4.543847424,151.3260518
10,9,3.161088,134.4970738
10,10,2.331975888,108.6680124
10,11,1.575510912,68.421413
10,12,1.019215872,30.86526845
10,13,0.476344656,4.654725078
10,14,0.987696,0
10,15,2.091856896,0
10,16,2.740919472,0
10,17,2.865961584,0
10,18,2.834352,0
10,19,2.99475,0
10,20,2.929884048,0
10,21,2.501852976,0
10,22,1.798152192,0
10,23,1.451188224,0
10,0,1.372050432,0
10,1,1.277242992,0.426067029
10,2,3.161088,22.8904142
10,3,7.412954112,63.1260928
10,4,9.354932352,101.4313566
10,5,7.002306,126.8274995
10,6,5.560483968,141.6830784
10,7,4.587121872,147.962445
10,8,3.888,143.7762181
10,9,3.734544384,126.7565493
10,10,4.762967184,98.58711819
10,11,5.560483968,63.54464528
10,12,3.696822,27.46783153
10,13,2.25,3.433800745
10,14,3.093833088,0
10,15,3.849249456,0
10,16,3.368686464,0
10,17,3.298507776,0
10,18,4.289904,0
10,19,5.174928,0
10,20,4.587121872,0
10,21,3.696822,0
10,22,2.472985728,0
10,23,1.240578,0
10,0,0.732736512,0
10,1,0.536238,0.362461491
10,2,1.084253184,21.13611669
10,3,4.674493296,63.72413705
10,4,8.153726976,104.3169633
10,5,8.942275584,139.5302928
10,6,8.281793664,157.3052985
10,7,7.002306,167.2060068
10,8,5.760243072,166.9936196
10,9,4.897760256,152.8436448
10,10,4.897760256,124.1304718
10,11,4.331553264,80.45277423
10,12,2.834352,34.21395017
10,13,1.258821504,4.976322885
10,14,2.169968112,0
10,15,1.916935632,0
10,16,1.618477056,0
10,17,1.775000304,0
10,18,2.444341392,0
10,19,2.501852976,0
10,20,3.439853568,0
10,21,3.439853568,0
10,22,2.415919104,0
10,23,1.596897648,0
10,0,1.067742,0
10,1,0.798513552,0.366957072
10,2,2.196430848,20.45594649
10,3,6.442398,65.036362
10,4,9.708356592,113.5114413
10,5,7.777461888,154.0591813
10,6,5.365397376,178.8508573
10,7,3.849249456,189.3373247
10,8,2.929884048,184.8981053
10,9,2.387718,166.0447751
10,10,2.066242608,134.5504143
10,11,1.729294416,93.40108205
10,12,1.491873408,45.10974398
10,13,1.941303168,6.514621984
10,14,7.176388608,0
10,15,9.997420464,0
10,16,7.964113104,0
10,17,5.760243072,0
10,18,3.195077904,0
10,19,1.892772864,0
10,20,1.798152192,0
10,21,1.775000304,0
10,22,1.512498096,0
10,23,1.240578,0
10,0,1.084253184,0
10,1,0.956832768,0.358728987
10,2,3.622141008,22.98588765
10,3,7.533161856,68.55702214
10,4,5.964729984,111.7520862
10,5,3.659354496,144.9543704
10,6,2.359737216,164.3408302
